"";"activated.genes";"repressed.genes";"DEGs"
"496";"AT2G28490";"AT3G15360";"AT2G28490"
"497";"AT4G11320";"AT4G21410";"AT4G11320"
"498";"AT3G01420";"AT4G02350";"AT3G01420"
"499";"AT5G54170";"AT3G15840";"AT5G54170"
"500";"AT1G21060";"AT1G58290";"AT1G21060"
"501";"ATCG00900";"AT1G72940";"ATCG00900"
"502";"ATCG01240";"AT2G43560";"ATCG01240"
"503";"AT2G39705";"AT2G40140";"AT2G39705"
"504";"AT3G52790";"AT1G74730";"AT3G52790"
"505";"AT5G08260";"AT1G45474";"AT5G08260"
"506";"AT1G52855";"AT2G43140";"AT1G52855"
"507";"AT1G64590";"AT3G44190";"AT1G64590"
"508";"AT4G37030";"AT5G26030";"AT4G37030"
"509";"AT5G24530";"AT2G14290";"AT5G24530"
"510";"AT2G19900";"AT4G21830";"AT2G19900"
"511";"AT1G21920";"AT5G64660";"AT1G21920"
"512";"AT4G08755";"AT4G36500";"AT4G08755"
"513";"AT5G54300";"AT2G41680";"AT5G54300"
"514";"AT3G21420";"AT4G18280";"AT3G21420"
"515";"AT3G55110";"AT2G24090";"AT3G55110"
"516";"AT1G14120";"AT3G10280";"AT1G14120"
"517";"AT5G07475";"AT3G62720";"AT5G07475"
"518";"AT5G41040";"AT5G38520";"AT5G41040"
"519";"AT3G15534";"AT1G29700";"AT3G15534"
"520";"AT3G13910";"AT2G15020";"AT3G13910"
"521";"AT4G35770";"AT1G50732";"AT4G35770"
"522";"AT5G26340";"AT4G25080";"AT5G26340"
"523";"AT2G19810";"AT5G59730";"AT2G19810"
"524";"AT1G71280";"AT1G16720";"AT1G71280"
"525";"AT1G75040";"AT1G03630";"AT1G75040"
"526";"AT2G04070";"AT2G36220";"AT2G04070"
"527";"AT2G38240";"AT4G11460";"AT2G38240"
"528";"AT1G67910";"AT2G40100";"AT1G67910"
"529";"AT1G26762";"AT4G17500";"AT1G26762"
"530";"AT1G10585";"AT5G64905";"AT1G10585"
"531";"AT1G76930";"AT3G49160";"AT1G76930"
"532";"ATCG00300";"AT5G23120";"ATCG00300"
"533";"AT1G30320";"AT3G27830";"AT1G30320"
"534";"AT3G22840";"AT4G27657";"AT3G22840"
"535";"AT2G39710";"AT1G32630";"AT2G39710"
"536";"AT4G38410";"AT5G51010";"AT4G38410"
"537";"AT2G33480";"AT1G04027";"AT2G33480"
"538";"AT3G47800";"AT2G42380";"AT3G47800"
"539";"AT5G15310";"AT1G32450";"AT5G15310"
"540";"AT1G29980";"AT1G72900";"AT1G29980"
"541";"AT4G14440";"AT5G61660";"AT4G14440"
"542";"AT1G08050";"AT2G37430";"AT1G08050"
"543";"AT2G33150";"AT3G28180";"AT2G33150"
"544";"AT1G03880";"AT5G51110";"AT1G03880"
"545";"AT3G22620";"AT3G14930";"AT3G22620"
"546";"AT5G41070";"AT5G61600";"AT5G41070"
"547";"AT2G01530";"AT3G19030";"AT2G01530"
"548";"AT4G16146";"AT3G54500";"AT4G16146"
"549";"AT1G05340";"AT4G29670";"AT1G05340"
"550";"AT5G66780";"AT5G53490";"AT5G66780"
"551";"AT1G60060";"AT4G17810";"AT1G60060"
"552";"AT3G19290";"AT1G50320";"AT3G19290"
"553";"AT1G65970";"AT1G01790";"AT1G65970"
"554";"AT2G24240";"AT3G15850";"AT2G24240"
"555";"AT1G66920";"AT3G56910";"AT1G66920"
"556";"AT5G56870";"AT4G37260";"AT5G56870"
"557";"AT2G01008";"AT4G06195";"AT2G01008"
"558";"AT1G56650";"AT1G56190";"AT1G56650"
"559";"AT3G22910";"AT3G23170";"AT3G22910"
"560";"AT3G25870";"AT1G73550";"AT3G25870"
"561";"AT3G29670";"AT3G27160";"AT3G29670"
"562";"AT2G38010";"AT4G18197";"AT2G38010"
"563";"AT5G67190";"AT2G34510";"AT5G67190"
"564";"AT3G28600";"AT4G23890";"AT3G28600"
"565";"AT2G01890";"AT4G02530";"AT2G01890"
"566";"AT1G21550";"AT4G16990";"AT1G21550"
"567";"AT5G03890";"AT3G14200";"AT5G03890"
"568";"AT3G46130";"AT5G59750";"AT3G46130"
"569";"AT1G79610";"AT5G45070";"AT1G79610"
"570";"AT4G25330";"AT4G37710";"AT4G25330"
"571";"AT5G42890";"AT1G32220";"AT5G42890"
"572";"AT1G01480";"AT2G42750";"AT1G01480"
"573";"ATCG01060";"AT3G25250";"ATCG01060"
"574";"AT5G14130";"AT3G11820";"AT5G14130"
"575";"AT2G47000";"AT4G24770";"AT2G47000"
"576";"AT5G41765";"AT1G72930";"AT5G41765"
"577";"AT5G28300";"AT4G39890";"AT5G28300"
"578";"AT4G23600";"AT4G13340";"AT4G23600"
"579";"AT3G02940";"AT1G23740";"AT3G02940"
"580";"AT1G60970";"AT3G09940";"AT1G60970"
"581";"AT3G12500";"AT5G44350";"AT3G12500"
"582";"AT4G16447";"AT2G47450";"AT4G16447"
"583";"AT1G75580";"AT3G54900";"AT1G75580"
"584";"AT5G45950";"AT3G26570";"AT5G45950"
"585";"AT2G27380";"AT1G02810";"AT2G27380"
"586";"AT3G52480";"AT5G10100";"AT3G52480"
"587";"AT1G76470";"AT2G26080";"AT1G76470"
"588";"AT4G39090";"AT3G54810";"AT4G39090"
"589";"AT5G50360";"AT1G33811";"AT5G50360"
"590";"AT5G03495";"AT1G77090";"AT5G03495"
"591";"AT3G51240";"AT2G20570";"AT3G51240"
"592";"ATCG00180";"AT1G52120";"ATCG00180"
"593";"AT1G78170";"AT1G73110";"AT1G78170"
"594";"AT3G59930";"AT1G52290";"AT3G59930"
"595";"AT1G64710";"AT4G22490";"AT1G64710"
"596";"AT5G13370";"AT1G68590";"AT5G13370"
"597";"AT5G67360";"AT3G24520";"AT5G67360"
"598";"AT5G25810";"AT5G06980";"AT5G25810"
"599";"AT5G52300";"AT1G78070";"AT5G52300"
"600";"AT1G22160";"AT4G31800";"AT1G22160"
"601";"AT2G47600";"AT3G62260";"AT2G47600"
"602";"AT4G16000";"AT5G04140";"AT4G16000"
"603";"AT3G10910";"AT2G33450";"AT3G10910"
"604";"AT1G18265";"AT3G23230";"AT1G18265"
"605";"AT1G02460";"AT1G59740";"AT1G02460"
"606";"AT1G74710";"AT1G62750";"AT1G74710"
"607";"AT1G60730";"AT3G05320";"AT1G60730"
"608";"AT2G15490";"AT5G57345";"AT2G15490"
"609";"AT3G06860";"AT5G01710";"AT3G06860"
"610";"AT1G31935";"AT5G43170";"AT1G31935"
"611";"AT1G72330";"AT3G57450";"AT1G72330"
"612";"AT5G48180";"AT5G40450";"AT5G48180"
"613";"AT3G18080";"AT5G54490";"AT3G18080"
"614";"AT5G02890";"AT4G18480";"AT5G02890"
"615";"AT1G21528";"AT1G32928";"AT1G21528"
"616";"AT5G28830";"AT1G74670";"AT5G28830"
"617";"AT4G23140";"AT2G42975";"AT4G23140"
"618";"AT5G13180";"AT3G27850";"AT5G13180"
"619";"AT5G62210";"AT1G02660";"AT5G62210"
"620";"AT3G57040";"AT3G54000";"AT3G57040"
"621";"AT2G04805";"AT5G64310";"AT2G04805"
"622";"AT1G79110";"AT3G51450";"AT1G79110"
"623";"AT1G13930";"AT5G13510";"AT1G13930"
"624";"AT4G34881";"AT3G61640";"AT4G34881"
"625";"AT2G30250";"AT5G66650";"AT2G30250"
"626";"AT1G78210";"AT2G44920";"AT1G78210"
"627";"AT5G10230";"AT4G12720";"AT5G10230"
"628";"AT2G36080";"AT5G52882";"AT2G36080"
"629";"AT1G19670";"AT2G47560";"AT1G19670"
"630";"AT2G40900";"AT5G10750";"AT2G40900"
"631";"AT4G28270";"AT5G18660";"AT4G28270"
"632";"AT5G01300";"AT1G22470";"AT5G01300"
"633";"AT5G66560";"AT3G06750";"AT5G66560"
"634";"AT3G55566";"AT5G64870";"AT3G55566"
"635";"AT2G20670";"AT5G44130";"AT2G20670"
"636";"AT1G05650";"AT2G20835";"AT1G05650"
"637";"AT1G62710";"AT3G54210";"AT1G62710"
"638";"AT5G14490";"AT3G47650";"AT5G14490"
"639";"AT5G01775";"AT3G50685";"AT5G01775"
"640";"AT5G23820";"AT5G37770";"AT5G23820"
"641";"AT5G57900";"AT3G55950";"AT5G57900"
"642";"AT3G14560";"AT2G23810";"AT3G14560"
"643";"AT4G36250";"AT1G29690";"AT4G36250"
"644";"AT3G28740";"AT2G36690";"AT3G28740"
"645";"AT5G02090";"AT3G63410";"AT5G02090"
"646";"AT3G17580";"AT5G01100";"AT3G17580"
"647";"AT4G27840";"AT1G68520";"AT4G27840"
"648";"AT3G05770";"AT5G56850";"AT3G05770"
"649";"AT2G01940";"AT1G15830";"AT2G01940"
"650";"AT1G70860";"AT2G32550";"AT1G70860"
"651";"AT3G59340";"AT5G64940";"AT3G59340"
"652";"AT2G17500";"AT4G17600";"AT2G17500"
"653";"AT1G47980";"AT1G22630";"AT1G47980"
"654";"AT3G14280";"AT2G05620";"AT3G14280"
"655";"AT5G13930";"AT1G07320";"AT5G13930"
"656";"AT3G04620";"AT1G18570";"AT3G04620"
"657";"AT3G51430";"AT1G74070";"AT3G51430"
"658";"AT1G50400";"AT2G21280";"AT1G50400"
"659";"AT1G07430";"AT2G23170";"AT1G07430"
"660";"AT5G27600";"AT5G37360";"AT5G27600"
"661";"AT4G04490";"AT1G78280";"AT4G04490"
"662";"AT2G21260";"AT5G65300";"AT2G21260"
"663";"AT1G03700";"AT2G32500";"AT1G03700"
"664";"AT3G11410";"AT4G34190";"AT3G11410"
"665";"AT1G79160";"AT1G55450";"AT1G79160"
"666";"AT5G14070";"AT1G73080";"AT5G14070"
"667";"AT1G33420";"AT1G56500";"AT1G33420"
"668";"AT2G26355";"AT1G11050";"AT2G26355"
"669";"AT4G38860";"AT1G75350";"AT4G38860"
"670";"AT3G47380";"AT1G35210";"AT3G47380"
"671";"AT2G03760";"AT1G27770";"AT2G03760"
"672";"AT1G74460";"AT3G25655";"AT1G74460"
"673";"AT3G51642";"AT2G21530";"AT3G51642"
"674";"AT1G02340";"AT2G21170";"AT1G02340"
"675";"AT1G24145";"AT4G01535";"AT1G24145"
"676";"AT4G04610";"AT2G23600";"AT4G04610"
"677";"AT4G34970";"AT3G56650";"AT4G34970"
"678";"AT2G16720";"AT1G66500";"AT2G16720"
"679";"AT1G68850";"AT1G76450";"AT1G68850"
"680";"AT1G67030";"AT5G16360";"AT1G67030"
"681";"AT1G56320";"AT1G64680";"AT1G56320"
"682";"AT3G04720";"AT1G13609";"AT3G04720"
"683";"AT4G21120";"AT1G65486";"AT4G21120"
"684";"AT2G18700";"AT2G32030";"AT2G18700"
"685";"ATCG00030";"AT3G54200";"ATCG00030"
"686";"AT2G23640";"AT1G22590";"AT2G23640"
"687";"AT5G56320";"AT3G01060";"AT5G56320"
"688";"AT2G26690";"AT1G57980";"AT2G26690"
"689";"AT5G10930";"AT4G14540";"AT5G10930"
"690";"AT5G65030";"AT5G40950";"AT5G65030"
"691";"AT4G09600";"AT5G16030";"AT4G09600"
"692";"AT4G09750";"AT4G34390";"AT4G09750"
"693";"AT3G11660";"AT1G30520";"AT3G11660"
"694";"AT2G39310";"AT5G59550";"AT2G39310"
"695";"AT4G14270";"AT1G18060";"AT4G14270"
"696";"AT1G10530";"AT5G67300";"AT1G10530"
"697";"AT1G20190";"AT3G23700";"AT1G20190"
"698";"AT2G02240";"AT1G72640";"AT2G02240"
"699";"AT3G61900";"AT1G22810";"AT3G61900"
"700";"AT1G78050";"AT5G17670";"AT1G78050"
"701";"AT3G04070";"AT1G37130";"AT3G04070"
"702";"AT1G34180";"AT4G10300";"AT1G34180"
"703";"AT1G67750";"AT3G25400";"AT1G67750"
"704";"AT5G43570";"AT3G19800";"AT5G43570"
"705";"AT2G21100";"AT5G65010";"AT2G21100"
"706";"AT1G17170";"AT5G46110";"AT1G17170"
"707";"AT3G01570";"AT5G41750";"AT3G01570"
"708";"AT5G55970";"AT1G74970";"AT5G55970"
"709";"AT3G21380";"AT3G06020";"AT3G21380"
"710";"AT1G67195";"AT3G56790";"AT1G67195"
"711";"AT1G72260";"AT2G39650";"AT1G72260"
"712";"AT4G38210";"AT1G16880";"AT4G38210"
"713";"AT5G67480";"AT2G35260";"AT5G67480"
"714";"AT4G05020";"AT1G73655";"AT4G05020"
"715";"AT4G21380";"AT3G18710";"AT4G21380"
"716";"AT1G52315";"AT3G13610";"AT1G52315"
"717";"AT4G36930";"AT3G15520";"AT4G36930"
"718";"AT1G28570";"AT5G47590";"AT1G28570"
"719";"AT4G23670";"AT5G66070";"AT4G23670"
"720";"AT5G13880";"AT1G68190";"AT5G13880"
"721";"AT4G32460";"AT2G33800";"AT4G32460"
"722";"AT1G23550";"AT5G44050";"AT1G23550"
"723";"AT3G23560";"AT3G15190";"AT3G23560"
"724";"AT3G21750";"AT5G38660";"AT3G21750"
"725";"AT3G10020";"AT4G23810";"AT3G10020"
"726";"AT3G28210";"AT1G17380";"AT3G28210"
"727";"AT1G52560";"AT5G51180";"AT1G52560"
"728";"AT4G39730";"AT2G31880";"AT4G39730"
"729";"AT1G30160";"AT2G40270";"AT1G30160"
"730";"AT3G53210";"AT5G14060";"AT3G53210"
"731";"AT5G54145";"AT5G16200";"AT5G54145"
"732";"AT3G54820";"AT5G35525";"AT3G54820"
"733";"AT1G06577";"AT2G05940";"AT1G06577"
"734";"AT4G34230";"AT5G13190";"AT4G34230"
"735";"AT5G25110";"AT3G24430";"AT5G25110"
"736";"AT1G75490";"AT5G61410";"AT1G75490"
"737";"AT1G60030";"AT3G27210";"AT1G60030"
"738";"AT3G52060";"AT1G31540";"AT3G52060"
"739";"AT3G61460";"AT5G28750";"AT3G61460"
"740";"AT4G10960";"AT5G24070";"AT4G10960"
"741";"AT4G00305";"AT2G27680";"AT4G00305"
"742";"AT3G51000";"AT5G52970";"AT3G51000"
"743";"AT2G40475";"AT1G16510";"AT2G40475"
"744";"AT2G02060";"AT3G19580";"AT2G02060"
"745";"AT1G13470";"AT5G38990";"AT1G13470"
"746";"AT5G25830";"AT3G25920";"AT5G25830"
"747";"AT1G29270";"AT2G26380";"AT1G29270"
"748";"AT1G61810";"AT4G28085";"AT1G61810"
"749";"AT4G22920";"AT5G64840";"AT4G22920"
"750";"AT1G15100";"AT4G18010";"AT1G15100"
"751";"AT4G09500";"AT2G26975";"AT4G09500"
"752";"AT5G03240";"AT3G53600";"AT5G03240"
"753";"AT5G21020";"AT3G55040";"AT5G21020"
"754";"AT2G18600";"AT1G17620";"AT2G18600"
"755";"AT5G20790";"AT2G48070";"AT5G20790"
"756";"AT5G20700";"AT5G09980";"AT5G20700"
"757";"AT3G03170";"AT1G50900";"AT3G03170"
"758";"AT5G47610";"AT5G50950";"AT5G47610"
"759";"AT3G61630";"AT2G43920";"AT3G61630"
"760";"AT5G42680";"AT2G03710";"AT5G42680"
"761";"AT5G24570";"AT4G18220";"AT5G24570"
"762";"AT5G01250";"AT4G25700";"AT5G01250"
"763";"AT1G73750";"AT5G48485";"AT1G73750"
"764";"AT3G24420";"AT4G24340";"AT3G24420"
"765";"AT5G02620";"AT2G37220";"AT5G02620"
"766";"AT4G15990";"AT5G66675";"AT4G15990"
"767";"AT3G25830";"AT1G64510";"AT3G25830"
"768";"ATCG00390";"AT5G20935";"ATCG00390"
"769";"AT5G53740";"AT2G40000";"AT5G53740"
"770";"AT2G40340";"AT3G08720";"AT2G40340"
"771";"AT3G10400";"AT4G30950";"AT3G10400"
"772";"AT3G53620";"AT3G43190";"AT3G53620"
"773";"AT3G61820";"AT2G35637";"AT3G61820"
"774";"AT2G14878";"AT1G64150";"AT2G14878"
"775";"AT1G65340";"AT3G17330";"AT1G65340"
"776";"AT2G01410";"AT3G15356";"AT2G01410"
"777";"AT4G02390";"AT5G26770";"AT4G02390"
"778";"AT1G74940";"AT5G58120";"AT1G74940"
"779";"AT3G52740";"AT1G80380";"AT3G52740"
"780";"AT1G79180";"AT4G18810";"AT1G79180"
"781";"AT3G19920";"AT4G01310";"AT3G19920"
"782";"AT4G38080";"AT4G36950";"AT4G38080"
"783";"AT5G01820";"AT4G15560";"AT5G01820"
"784";"AT5G65110";"AT3G23400";"AT5G65110"
"785";"AT5G57655";"AT3G19850";"AT5G57655"
"786";"AT4G22470";"AT2G21140";"AT4G22470"
"787";"AT2G36270";"AT4G13572";"AT2G36270"
"788";"AT4G35750";"AT1G09070";"AT4G35750"
"789";"AT5G61650";"AT1G35680";"AT5G61650"
"790";"AT4G37700";"AT1G43560";"AT4G37700"
"791";"AT1G08890";"AT3G05370";"AT1G08890"
"792";"AT1G07645";"AT5G13720";"AT1G07645"
"793";"AT2G28140";"AT2G28210";"AT2G28140"
"794";"AT1G48330";"AT3G15760";"AT1G48330"
"795";"AT3G25820";"AT3G14260";"AT3G25820"
"796";"AT1G28400";"AT5G28770";"AT1G28400"
"797";"AT1G64390";"AT3G14770";"AT1G64390"
"798";"AT4G03400";"AT1G63090";"AT4G03400"
"799";"AT2G35070";"AT3G46630";"AT2G35070"
"800";"AT2G37130";"AT4G03875";"AT2G37130"
"801";"AT5G43330";"AT2G27290";"AT5G43330"
"802";"AT2G21450";"AT1G71400";"AT2G21450"
"803";"AT5G57685";"AT5G35170";"AT5G57685"
"804";"AT4G13290";"AT5G39210";"AT4G13290"
"805";"AT4G17280";"AT4G30440";"AT4G17280"
"806";"AT4G31877";"AT5G47190";"AT4G31877"
"807";"AT2G28200";"AT3G25690";"AT2G28200"
"808";"AT1G66230";"AT4G17460";"AT1G66230"
"809";"AT3G27620";"AT4G17250";"AT3G27620"
"810";"AT5G06775";"AT4G05275";"AT5G06775"
"811";"AT3G60140";"AT1G18193";"AT3G60140"
"812";"AT4G20390";"AT4G32020";"AT4G20390"
"813";"AT3G28540";"AT3G08920";"AT3G28540"
"814";"AT2G43670";"AT1G61470";"AT2G43670"
"815";"AT2G25160";"ATCG00480";"AT2G25160"
"816";"AT5G25440";"AT1G02390";"AT5G25440"
"817";"AT1G58225";"AT5G05440";"AT1G58225"
"818";"AT5G57887";"AT1G59730";"AT5G57887"
"819";"AT4G28040";"AT5G15130";"AT4G28040"
"820";"AT5G41590";"AT2G20890";"AT5G41590"
"821";"AT5G06845";"AT4G35783";"AT5G06845"
"822";"AT1G20160";"AT3G06145";"AT1G20160"
"823";"ATCG01310";"AT4G24972";"ATCG01310"
"824";"AT5G11460";"AT3G17185";"AT5G11460"
"825";"AT4G30290";"AT3G12820";"AT4G30290"
"826";"AT2G31160";"AT2G34460";"AT2G31160"
"827";"AT5G25250";"AT1G03870";"AT5G25250"
"828";"AT4G27830";"AT3G61400";"AT4G27830"
"829";"AT1G09420";"AT1G13260";"AT1G09420"
"830";"AT1G14950";"AT4G14870";"AT1G14950"
"831";"AT1G67365";"AT2G34860";"AT1G67365"
"832";"AT5G04380";"AT2G23130";"AT5G04380"
"833";"AT3G06325";"AT3G54830";"AT3G06325"
"834";"AT3G55120";"AT4G28030";"AT3G55120"
"835";"AT4G37370";"AT1G32200";"AT4G37370"
"836";"AT1G13330";"AT4G23515";"AT1G13330"
"837";"AT2G22450";"AT3G44890";"AT2G22450"
"838";"AT5G01520";"AT3G46530";"AT5G01520"
"839";"AT5G55530";"AT4G17230";"AT5G55530"
"840";"AT3G18400";"AT3G16720";"AT3G18400"
"841";"AT4G21020";"AT4G34090";"AT4G21020"
"842";"AT4G19160";"AT1G35350";"AT4G19160"
"843";"AT3G47420";"AT4G21210";"AT3G47420"
"844";"AT3G27650";"AT1G04420";"AT3G27650"
"845";"AT2G26310";"AT3G22830";"AT2G26310"
"846";"AT5G26690";"AT2G24850";"AT5G26690"
"847";"AT1G53030";"AT4G01540";"AT1G53030"
"848";"AT3G47160";"AT5G42270";"AT3G47160"
"849";"AT4G24960";"AT4G24700";"AT4G24960"
"850";"AT3G18490";"AT1G14480";"AT3G18490"
"851";"AT1G46554";"AT5G17870";"AT1G46554"
"852";"AT2G39050";"AT4G15393";"AT2G39050"
"853";"AT1G19570";"AT1G66970";"AT1G19570"
"854";"AT2G28840";"AT4G18370";"AT2G28840"
"855";"AT3G26460";"AT1G22850";"AT3G26460"
"856";"AT4G28240";"AT2G03750";"AT4G28240"
"857";"AT5G40390";"AT4G02130";"AT5G40390"
"858";"AT1G32940";"AT5G13120";"AT1G32940"
"859";"AT2G38860";"AT2G30766";"AT2G38860"
"860";"AT4G13280";"AT2G29300";"AT4G13280"
"861";"AT5G57630";"AT3G09830";"AT5G57630"
"862";"AT4G08290";"AT5G04230";"AT4G08290"
"863";"AT1G19394";"AT5G44060";"AT1G19394"
"864";"AT5G59170";"AT1G22330";"AT5G59170"
"865";"AT1G09687";"AT1G01140";"AT1G09687"
"866";"AT3G21710";"AT2G21120";"AT3G21710"
"867";"AT3G13404";"AT1G07520";"AT3G13404"
"868";"AT4G30960";"AT1G10960";"AT4G30960"
"869";"AT2G05440";"AT1G15010";"AT2G05440"
"870";"AT1G64110";"AT2G37660";"AT1G64110"
"871";"AT2G23790";"AT3G52150";"AT2G23790"
"872";"AT1G77380";"AT5G38940";"AT1G77380"
"873";"AT1G23800";"AT3G63490";"AT1G23800"
"874";"AT1G33950";"AT1G65190";"AT1G33950"
"875";"AT5G40690";"AT1G17650";"AT5G40690"
"876";"AT5G38530";"AT5G21920";"AT5G38530"
"877";"AT2G02120";"AT2G33330";"AT2G02120"
"878";"AT1G76790";"AT1G64860";"AT1G76790"
"879";"AT4G33150";"AT3G47960";"AT4G33150"
"880";"AT2G38400";"AT2G05812";"AT2G38400"
"881";"AT3G48830";"AT5G08280";"AT3G48830"
"882";"AT2G01990";"AT1G15825";"AT2G01990"
"883";"AT2G16060";"AT4G15510";"AT2G16060"
"884";"AT4G15910";"AT3G52380";"AT4G15910"
"885";"AT5G01380";"AT1G53520";"AT5G01380"
"886";"AT5G62200";"AT1G76110";"AT5G62200"
"887";"AT2G15890";"AT3G53800";"AT2G15890"
"888";"AT2G40080";"AT5G62670";"AT2G40080"
"889";"AT1G30475";"AT2G35960";"AT1G30475"
"890";"AT1G08310";"AT4G35655";"AT1G08310"
"891";"AT4G38932";"AT5G14320";"AT4G38932"
"892";"AT3G05937";"AT4G04223";"AT3G05937"
"893";"AT1G13340";"AT1G52830";"AT1G13340"
"894";"AT5G12010";"AT3G11945";"AT5G12010"
"895";"AT1G08650";"AT1G77760";"AT1G08650"
"896";"AT1G66465";"AT3G12830";"AT1G66465"
"897";"AT5G57050";"AT1G26218";"AT5G57050"
"898";"AT3G60520";"AT1G78915";"AT3G60520"
"899";"AT5G46180";"AT4G32590";"AT5G46180"
"900";"AT1G51140";"AT3G11170";"AT1G51140"
"901";"AT2G08760";"AT4G19830";"AT2G08760"
"902";"AT5G51210";"AT5G22690";"AT5G51210"
"903";"AT1G17830";"AT4G25290";"AT1G17830"
"904";"AT1G05870";"AT5G38930";"AT1G05870"
"905";"AT4G16210";"AT5G35100";"AT4G16210"
"906";"AT1G45191";"AT5G14970";"AT1G45191"
"907";"AT5G08640";"AT1G23710";"AT5G08640"
"908";"AT3G04184";"AT3G63190";"AT3G04184"
"909";"AT5G20710";"AT1G74310";"AT5G20710"
"910";"AT3G21890";"AT5G05580";"AT3G21890"
"911";"AT3G25700";"AT1G65800";"AT3G25700"
"912";"AT2G23540";"AT2G41100";"AT2G23540"
"913";"AT5G06860";"AT5G54600";"AT5G06860"
"914";"AT4G19810";"AT4G36710";"AT4G19810"
"915";"AT4G34138";"AT5G52100";"AT4G34138"
"916";"AT2G36320";"AT1G68830";"AT2G36320"
"917";"AT5G39850";"AT1G05190";"AT5G39850"
"918";"AT5G26146";"AT1G58602";"AT5G26146"
"919";"AT5G14930";"AT5G16710";"AT5G14930"
"920";"AT1G18810";"AT5G48300";"AT1G18810"
"921";"AT2G41190";"AT5G14260";"AT2G41190"
"922";"AT1G01010";"AT5G20140";"AT1G01010"
"923";"AT5G07310";"AT4G01090";"AT5G07310"
"924";"AT5G65510";"AT2G17230";"AT5G65510"
"925";"AT4G16760";"AT1G63860";"AT4G16760"
"926";"AT5G13360";"AT4G37240";"AT5G13360"
"927";"AT2G28120";"ATCG00940";"AT2G28120"
"928";"AT2G15970";"AT4G10120";"AT2G15970"
"929";"AT5G26290";"AT2G41230";"AT5G26290"
"930";"AT4G35550";"AT5G46270";"AT4G35550"
"931";"AT1G69580";"AT3G24550";"AT1G69580"
"932";"AT1G15790";"AT1G44830";"AT1G15790"
"933";"AT1G54760";"AT4G36570";"AT1G54760"
"934";NA;"AT3G63350";"AT5G06290"
"935";NA;"AT2G22870";"AT3G27690"
"936";NA;"AT5G67030";"AT4G34410"
"937";NA;"AT3G06890";"AT3G11630"
"938";NA;"ATCG01190";"AT1G12610"
"939";NA;"AT1G33610";"AT2G34430"
"940";NA;"AT2G47400";"AT5G38420"
"941";NA;"AT2G14247";"AT3G01500"
"942";NA;"AT1G05207";"AT1G33760"
"943";NA;"AT3G02140";"AT1G30135"
"944";NA;"AT5G13410";"AT1G80840"
"945";NA;"AT4G38550";"AT4G31940"
"946";NA;"AT2G42600";"AT3G05945"
"947";NA;"AT1G50020";"AT2G34600"
"948";NA;"AT1G01080";"AT1G29920"
"949";NA;"AT5G03355";"AT5G38430"
"950";NA;"AT5G36120";"AT5G45340"
"951";NA;"AT1G65260";"AT5G38410"
"952";NA;"AT4G24160";"AT1G65390"
"953";NA;"AT2G23100";"AT1G29910"
"954";NA;"AT2G41120";"AT5G54270"
"955";NA;"AT1G73060";"AT5G52020"
"956";NA;"AT2G41560";"AT2G44840"
"957";NA;"AT4G36530";"AT3G54890"
"958";NA;"AT3G13120";"AT1G72520"
"959";NA;"AT5G44870";"AT2G05070"
"960";NA;"AT2G40490";"AT2G05100"
"961";NA;"AT1G22530";"AT1G76650"
"962";NA;"AT1G31800";"AT5G51720"
"963";NA;"AT5G64290";"AT3G48520"
"964";NA;"AT3G55430";"AT3G08940"
"965";NA;"AT1G17220";"AT3G44870"
"966";NA;"AT3G57930";"AT1G21500"
"967";NA;"AT5G08150";"AT4G29780"
"968";NA;"AT1G72790";"AT5G48490"
"969";NA;"AT3G26710";"AT2G25460"
"970";NA;"AT4G16980";"AT5G28630"
"971";NA;"AT3G22210";"AT4G24570"
"972";NA;"AT5G08790";"AT3G16670"
"973";NA;"AT3G10520";"AT3G47470"
"974";NA;"AT1G56140";"AT1G52230"
"975";NA;"AT4G22610";"AT2G08665"
"976";NA;"AT3G51970";"AT3G63140"
"977";NA;"AT5G55570";"AT5G38700"
"978";NA;"AT1G54500";"AT1G35140"
"979";NA;"AT5G13220";"AT2G24600"
"980";NA;"AT4G36550";"AT5G41740"
"981";NA;"AT5G21930";"AT5G52050"
"982";NA;"AT1G53670";"AT2G39730"
"983";NA;"AT1G68238";"AT1G66090"
"984";NA;"AT1G47130";"AT4G26530"
"985";NA;"AT3G12320";"AT1G03130"
"986";NA;"AT5G03204";"AT1G67090"
"987";NA;"AT4G13493";"AT1G15820"
"988";NA;"AT2G42690";"AT2G27690"
"989";NA;"AT5G63130";"AT1G28480"
"990";NA;"AT2G45760";"AT1G09340"
"991";NA;"AT1G63360";"AT4G05180"
"992";NA;"AT2G22190";"AT1G55670"
"993";NA;"AT1G50250";"AT1G07135"
"994";NA;"AT1G12250";"AT1G74930"
"995";NA;"AT2G46330";"AT1G19770"
"996";NA;"AT2G42770";"AT1G72610"
"997";NA;"AT4G21445";"AT2G35930"
"998";NA;"AT2G21385";"AT3G01550"
"999";NA;"AT2G38310";"AT4G10340"
"1000";NA;"AT5G67310";"AT1G31330"
"1001";NA;"AT1G61190";"AT3G12900"
"1002";NA;"AT3G51820";"AT5G14740"
"1003";NA;"AT1G32550";"AT2G10940"
"1004";NA;"AT1G78020";"AT4G19530"
"1005";NA;"AT4G26555";"AT3G55980"
"1006";NA;"AT5G03880";"AT5G21430"
"1007";NA;"AT2G32200";"AT2G46820"
