"";"activated.genes";"repressed.genes";"DEGs"
"114";"AT5G05340";"AT1G20340";"AT5G05340"
"115";"AT5G22500";"AT4G27654";"AT5G22500"
"116";"AT2G05380";"AT1G51400";"AT2G05380"
"117";"AT4G20320";"AT1G76600";"AT4G20320"
"118";"AT2G42540";"AT1G01580";"AT2G42540"
"119";"AT5G05220";"AT5G23060";"AT5G05220"
"120";"AT1G55990";"AT4G21870";"AT1G55990"
"121";"AT3G08860";"AT2G17660";"AT3G08860"
"122";"AT5G59390";"AT3G61190";"AT5G59390"
"123";"AT4G39830";"AT4G25470";"AT4G39830"
"124";"AT5G17760";"AT3G01830";"AT5G17760"
"125";"AT2G43530";"AT4G08950";"AT2G43530"
"126";"AT1G69870";"AT1G57990";"AT1G69870"
"127";"AT4G25000";"AT1G06680";"AT4G25000"
"128";"AT3G28220";"AT4G21280";"AT3G28220"
"129";"AT1G12064";"AT3G09870";"AT1G12064"
"130";"AT5G41761";"AT2G22760";"AT5G41761"
"131";"AT3G55130";"AT3G20600";"AT3G55130"
"132";"AT5G03350";"AT4G38970";"AT5G03350"
"133";"AT5G53980";"AT5G64040";"AT5G53980"
"134";"AT4G22880";"AT4G37925";"AT4G22880"
"135";"AT3G02040";"AT3G45960";"AT3G02040"
"136";"AT1G52000";"AT4G01950";"AT1G52000"
"137";"AT1G52890";"AT1G67740";"AT1G52890"
"138";"AT1G02920";"AT1G14150";"AT1G02920"
"139";"AT2G43570";"AT5G28610";"AT2G43570"
"140";"AT1G05523";"AT3G50820";"AT1G05523"
"141";"AT2G08735";"AT1G56660";"AT2G08735"
"142";"AT5G37670";"AT5G11070";"AT5G37670"
"143";"AT1G02940";"AT2G06520";"AT1G02940"
"144";"AT5G09530";"AT1G27730";"AT5G09530"
"145";"AT2G31980";"AT2G21330";"AT2G31980"
"146";"AT5G40420";"AT3G44260";"AT5G40420"
"147";"AT2G31865";"AT3G61470";"AT2G31865"
"148";"AT3G22970";"AT5G36790";"AT3G22970"
"149";"AT5G24280";"AT5G36700";"AT5G24280"
"150";"AT2G34610";"AT3G04210";"AT2G34610"
"151";"AT5G58570";"AT5G56080";"AT5G58570"
"152";"AT5G42530";"AT1G72416";"AT5G42530"
"153";"AT3G01600";"AT2G39470";"AT3G01600"
"154";"AT1G10370";"AT5G28450";"AT1G10370"
"155";"AT2G32680";"AT2G30570";"AT2G32680"
"156";"AT3G49120";"AT3G05727";"AT3G49120"
"157";"AT2G20800";"AT2G42760";"AT2G20800"
"158";"AT3G17790";"AT1G76100";"AT3G17790"
"159";"AT5G53190";"AT3G44860";"AT5G53190"
"160";"AT3G04300";"AT2G34620";"AT3G04300"
"161";"AT4G25140";"AT5G22250";"AT4G25140"
"162";"AT1G76590";"AT3G59400";"AT1G76590"
"163";"AT5G25260";"AT3G45640";"AT5G25260"
"164";"AT2G48140";"AT5G19240";"AT2G48140"
"165";"AT2G22200";"AT1G18730";"AT2G22200"
"166";"ATCG00010";"AT4G27280";"ATCG00010"
"167";"AT5G17860";"AT1G72920";"AT5G17860"
"168";"AT3G18610";"AT5G35630";"AT3G18610"
"169";"AT2G39330";"AT2G29290";"AT2G39330"
"170";"AT1G29640";"AT2G38470";"AT1G29640"
"171";"AT2G30750";"AT3G56940";"AT2G30750"
"172";"AT5G06870";"AT4G37930";"AT5G06870"
"173";"AT5G15970";"AT3G46780";"AT5G15970"
"174";"AT4G05380";"AT1G07887";"AT4G05380"
"175";"AT5G43840";"AT2G41010";"AT5G43840"
"176";"AT3G28580";"AT3G18890";"AT3G28580"
"177";"AT1G26560";"AT3G47070";"AT1G26560"
"178";"AT3G28300";"AT3G48420";"AT3G28300"
"179";"AT1G22640";"AT1G14345";"AT1G22640"
"180";"AT3G28290";"AT3G50060";"AT3G28290"
"181";"AT4G11650";"AT4G13500";"AT4G11650"
"182";"AT5G54060";"AT3G27540";"AT5G54060"
"183";"ATCG00890";"AT1G73540";"ATCG00890"
"184";"ATCG01250";"AT4G34150";"ATCG01250"
"185";"AT1G04770";"AT3G63160";"AT1G04770"
"186";"AT5G43980";"AT1G15980";"AT5G43980"
"187";"AT2G44290";"AT4G09650";"AT2G44290"
"188";"AT2G04050";"AT3G02730";"AT2G04050"
"189";"AT4G10910";"AT4G13395";"AT4G10910"
"190";"AT2G46680";"AT2G30020";"AT2G46680"
"191";"AT5G53230";"AT1G55480";"AT5G53230"
"192";"AT5G66052";"AT4G18205";"AT5G66052"
"193";"AT4G33930";"AT4G33010";"AT4G33930"
"194";"AT1G47510";"AT1G11185";"AT1G47510"
"195";"AT3G50400";"AT4G09010";"AT3G50400"
"196";"AT3G03640";"AT1G70985";"AT3G03640"
"197";"AT4G27160";"AT4G01250";"AT4G27160"
"198";"AT5G03230";"AT1G74880";"AT5G03230"
"199";"AT5G26220";"AT5G66570";"AT5G26220"
"200";"AT1G35710";"AT1G74450";"AT1G35710"
"201";"AT2G43620";"AT4G03280";"AT2G43620"
"202";"AT2G38340";"AT2G04039";"AT2G38340"
"203";"AT1G35230";"AT2G36650";"AT1G35230"
"204";"AT3G11640";"AT4G19690";"AT3G11640"
"205";"AT5G15960";"AT5G58260";"AT5G15960"
"206";"ATCG00360";"AT5G01040";"ATCG00360"
"207";"AT1G73260";"AT5G02780";"AT1G73260"
