"";"activated.genes";"repressed.genes";"DEGs"
"441";NA;NA;"AT5G01050"
"442";NA;NA;"AT4G15150"
"443";NA;NA;"AT4G24110"
"444";NA;NA;"AT5G41740"
"445";NA;NA;"AT1G27770"
"446";NA;NA;"AT5G64900"
"447";NA;NA;"AT5G04200"
"448";NA;NA;"AT5G45110"
"449";NA;NA;"AT5G17170"
"450";NA;NA;"AT1G78280"
"451";NA;NA;"AT5G65690"
"452";NA;NA;"AT3G53600"
"453";NA;NA;"AT5G38005"
"454";NA;NA;"AT5G59490"
"455";NA;NA;"AT5G03355"
"456";NA;NA;"AT3G19430"
"457";NA;NA;"AT1G19770"
"458";NA;NA;"AT1G70130"
"459";NA;NA;"AT5G54370"
"460";NA;NA;"AT1G20510"
"461";NA;NA;"AT5G24590"
"462";NA;NA;"AT1G55450"
"463";NA;NA;"AT3G54810"
"464";NA;NA;"AT2G01180"
"465";NA;NA;"AT1G73080"
"466";NA;NA;"AT5G03260"
"467";NA;NA;"AT5G15130"
"468";NA;NA;"AT5G22690"
"469";NA;NA;"AT3G52450"
"470";NA;NA;"AT2G21510"
"471";NA;NA;"AT2G25735"
"472";NA;NA;"AT3G55430"
"473";NA;NA;"AT3G43670"
"474";NA;NA;"AT1G77640"
"475";NA;NA;"AT2G18210"
"476";NA;NA;"AT1G74430"
"477";NA;NA;"AT1G15040"
"478";NA;NA;"AT3G21550"
"479";NA;NA;"AT5G02540"
"480";NA;NA;"AT3G24520"
"481";NA;NA;"AT5G51990"
"482";NA;NA;"AT5G52050"
"483";NA;NA;"AT4G00770"
"484";NA;NA;"AT5G42930"
"485";NA;NA;"AT4G02170"
"486";NA;NA;"AT1G09932"
"487";NA;NA;"AT4G26260"
"488";NA;NA;"AT1G63860"
"489";NA;NA;"AT1G58370"
"490";NA;NA;"AT3G25780"
"491";NA;NA;"AT1G74950"
"492";NA;NA;"AT1G17345"
"493";NA;NA;"AT1G17620"
"494";NA;NA;"AT3G51970"
"495";NA;NA;"AT4G21830"
"496";NA;NA;"AT5G26030"
"497";NA;NA;"AT4G23180"
"498";NA;NA;"AT1G69890"
"499";NA;NA;"AT3G16350"
"500";NA;NA;"AT1G43790"
"501";NA;NA;"AT1G65970"
"502";NA;NA;"AT2G17840"
"503";NA;NA;"AT1G60950"
"504";NA;NA;"AT1G69050"
"505";NA;NA;"AT1G72450"
"506";NA;NA;"AT1G32460"
"507";NA;NA;"AT1G52060"
"508";NA;NA;"AT1G72790"
"509";NA;NA;"AT1G06620"
